170,Cancel Submitted,False,2020-01-28 09:15:07.455095,1/1/20,1/1/20,"Order(orderId=170, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
170,Cancel Submitted,False,2020-01-28 09:15:07.456832,1/1/20,1/1/20,"Order(orderId=170, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
171,Cancel Submitted,False,2020-01-28 09:15:08.484515,1/1/20,1/1/20,"Order(orderId=171, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
171,Cancel Submitted,False,2020-01-28 09:15:08.487705,1/1/20,1/1/20,"Order(orderId=171, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
172,Cancel Submitted,False,2020-01-28 09:15:09.519533,1/1/20,1/1/20,"Order(orderId=172, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044806', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
172,Cancel Submitted,False,2020-01-28 09:15:09.524979,1/1/20,1/1/20,"Order(orderId=172, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044806', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
193,Cancel Submitted,True,2020-01-28 10:15:04.701919,1/1/20,1/1/20,"Order(orderId=193, action='Buy', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
194,Cancel Submitted,True,2020-01-28 10:15:05.720093,1/1/20,1/1/20,"Order(orderId=194, permId=1954560208, action='SELL', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3259.25, tif='GTC', ocaGroup='1954560207', ocaType=3, parentId=193, trailStopPrice=3259.25, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
235,Cancel Submitted,False,2020-01-28 12:15:05.358149,1/1/20,1/1/20,"Order(orderId=235, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
235,Cancel Submitted,False,2020-01-28 12:15:05.359721,1/1/20,1/1/20,"Order(orderId=235, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
236,Cancel Submitted,False,2020-01-28 12:15:06.389010,1/1/20,1/1/20,"Order(orderId=236, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
236,Cancel Submitted,False,2020-01-28 12:15:06.399167,1/1/20,1/1/20,"Order(orderId=236, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
101,Cancel Submitted,True,2020-01-29 13:15:05.082316,1/1/20,1/1/20,"Order(orderId=101, action='Sell', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
102,Cancel Submitted,True,2020-01-29 13:15:06.090983,1/1/20,1/1/20,"Order(orderId=102, permId=567177989, action='BUY', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3291.5, tif='GTC', ocaGroup='567177988', ocaType=3, parentId=101, trailStopPrice=3291.5, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
108,Cancel Submitted,False,2020-01-29 13:30:05.497261,1/1/20,1/1/20,"Order(orderId=108, action='Buy', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
108,Cancel Submitted,False,2020-01-29 13:30:05.501369,1/1/20,1/1/20,"Order(orderId=108, action='Buy', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
109,Cancel Submitted,False,2020-01-29 13:30:06.529396,1/1/20,1/1/20,"Order(orderId=109, action='Buy', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
109,Cancel Submitted,False,2020-01-29 13:30:06.533619,1/1/20,1/1/20,"Order(orderId=109, action='Buy', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
170,Cancel Submitted,True,2020-01-29 18:00:05.944840,1/1/20,1/1/20,"Order(orderId=170, action='Buy', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
171,Cancel Submitted,True,2020-01-29 18:00:06.960958,1/1/20,1/1/20,"Order(orderId=171, permId=567178063, action='SELL', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3264.25, tif='GTC', ocaGroup='567178062', ocaType=3, parentId=170, trailStopPrice=3264.25, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
177,Cancel Submitted,False,2020-01-29 18:15:05.434594,1/1/20,1/1/20,"Order(orderId=177, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
177,Cancel Submitted,False,2020-01-29 18:15:05.448778,1/1/20,1/1/20,"Order(orderId=177, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
178,Cancel Submitted,False,2020-01-29 18:15:06.478324,1/1/20,1/1/20,"Order(orderId=178, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
178,Cancel Submitted,False,2020-01-29 18:15:06.487863,1/1/20,1/1/20,"Order(orderId=178, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
179,Cancel Submitted,True,2020-01-29 18:15:07.550504,1/1/20,1/1/20,"Order(orderId=179, action='Buy', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
